pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21,ruc21
"E9  5FA","E9   5FA","E9 5FA","201203","","E99999999","E99999999","E09000012","E05009379","E43000202","0","536629","0185449","1","E18000007","E40000003","E92000001","E12000007","5","E14001259","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGL","E00008925","00AMGL","E65000001","E01001786","E02000357","5","7B2","E00008925","E01001786","E02000357","E33033776","E38000255","E63011969","A1","3A1",51.551396,-0.030763,"E37000051","","E23000001",4889,"E56000028","E54000029","E00183999","E01001786","E02000357","UN1"
"E9  5FB","E9   5FB","E9 5FB","199912","200110","E99999999","E99999999","E09000030","E05009331","E43000220","1","534630","0183318","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFW","E00021144","00BGFW","E65000001","E01004202","E02000868","5","7B1","E00167245","E01004202","E02000868","E33036199","E38000255","E63012023","A1","3B2",51.532726,-0.060392,"E37000051","","E23000001",10499,"E56000028","E54000029","E00167245","E01004202","E02000868","UN1"
"E9  5FD","E9   5FD","E9 5FD","199812","200107","E99999999","E99999999","E09000012","E05009374","E43000202","1","536390","0184949","6","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009207","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009207","E01001849","E02000362","E33033802","E38000255","E63011969","A1","3D2",51.546960,-0.034402,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009207","E01001849","E02000362","UN1"
"E9  5FE","E9   5FE","E9 5FE","199812","200006","E99999999","E99999999","E09000012","E05009374","E43000202","1","536390","0184949","6","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009207","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009207","E01001849","E02000362","E33033802","E38000255","E63011969","A1","3D2",51.546960,-0.034402,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009207","E01001849","E02000362","UN1"
"E9  5FF","E9   5FF","E9 5FF","201203","","E99999999","E99999999","E09000012","E05009379","E43000202","0","536603","0185483","1","E18000007","E40000003","E92000001","E12000007","5","E14001259","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGL","E00008925","00AMGL","E65000001","E01001786","E02000357","5","7B2","E00008925","E01001786","E02000357","E33033776","E38000255","E63011969","A1","3A1",51.551707,-0.031125,"E37000051","","E23000001",4889,"E56000028","E54000029","E00183999","E01001786","E02000357","UN1"
"E9  5FG","E9   5FG","E9 5FG","199812","200101","E99999999","E99999999","E09000012","E05009374","E43000202","1","536390","0184949","6","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009207","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009207","E01001849","E02000362","E33033802","E38000255","E63011969","A1","3D2",51.546960,-0.034402,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009207","E01001849","E02000362","UN1"
"E9  5FH","E9   5FH","E9 5FH","199906","200006","E99999999","E99999999","E09000012","E05009374","E43000202","1","536390","0184949","6","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009207","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009207","E01001849","E02000362","E33033802","E38000255","E63011969","A1","3D2",51.546960,-0.034402,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009207","E01001849","E02000362","UN1"
"E9  5FJ","E9   5FJ","E9 5FJ","199812","199912","E99999999","E99999999","E09000012","E05009374","E43000202","1","536349","0184981","6","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009191","00AMGU","E65000001","E01001847","E02000362","5","7B1","E00009191","E01001847","E02000362","E33033802","E38000255","E63011969","A1","3D2",51.547258,-0.034981,"E37000051","","E23000001",1315,"E56000028","E54000029","E00009191","E01001847","E02000362","UN1"
"E9  5FL","E9   5FL","E9 5FL","199906","200306","E99999999","E99999999","E09000030","E05009331","E43000220","1","534630","0183318","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFW","E00021144","00BGFW","E65000001","E01004202","E02000868","5","7B1","E00167245","E01004202","E02000868","E33036199","E38000255","E63012023","A1","3B2",51.532726,-0.060392,"E37000051","","E23000001",10499,"E56000028","E54000029","E00167245","E01004202","E02000868","UN1"
"E9  5FN","E9   5FN","E9 5FN","199906","200306","E99999999","E99999999","E09000030","E05009331","E43000220","1","534630","0183318","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFW","E00021144","00BGFW","E65000001","E01004202","E02000868","5","7B1","E00167245","E01004202","E02000868","E33036199","E38000255","E63012023","A1","3B2",51.532726,-0.060392,"E37000051","","E23000001",10499,"E56000028","E54000029","E00167245","E01004202","E02000868","UN1"
